Time         X         Y        Az
   7.184-100.605-100.617 225.585
   7.199-101.627-101.420 218.137
   7.215-102.745-102.084 210.688
   7.232-103.940-102.597 203.240
   7.247-105.191-102.951 195.791
   7.263-106.477-103.139 188.343
   7.280-107.777-103.159 180.894
   7.295-109.068-103.011 173.446
   7.311-110.330-102.696 165.998
   7.326-111.540-102.221 158.549
   7.342-112.678-101.593 151.101
   7.357-113.725-100.822 143.652
   7.372-114.663 -99.923 136.204
   7.387-115.477 -98.909 128.755
   7.402-116.153 -97.798 121.307
   7.418-116.678 -96.609 113.858
   7.434-117.046 -95.362 106.410
   7.449-117.248 -94.078  98.961
   7.464-117.282 -92.778  91.513
   7.479-117.148 -91.485  84.065
   7.496-116.847 -90.221  76.616
   7.510-116.385 -89.006  69.168
   7.525-115.769 -87.861  61.719
   7.541-115.010 -86.806  54.271
   7.572-114.120 -85.858  46.822
   7.604-113.115 -85.033  39.374
   7.618-112.012 -84.345  31.925
   7.634-110.829 -83.807  24.477
   7.651-109.586 -83.426  17.028
   7.666-108.304 -83.210   9.580
   7.683-107.005 -83.161   2.132
   7.699-105.710 -83.282 354.683
   7.712-104.442 -83.569 347.235
   7.727-103.222 -84.018 339.786
   7.743-102.071 -84.622 332.338
   7.757-101.008 -85.370 324.889
   7.774-100.050 -86.249 317.441
   7.789 -99.215 -87.245 309.992
   7.804 -98.515 -88.341 302.544
   7.822 -97.964 -89.518 295.096
   7.836 -97.570 -90.757 287.647
   7.851 -97.340 -92.036 280.199
   7.868 -97.277 -93.335 272.750
   7.883 -97.384 -94.630 265.302
   7.905 -97.657 -95.901 257.853
   7.914 -98.093 -97.126 250.405
   7.930 -98.684 -98.284 242.956
   7.945 -99.420 -99.355 235.508
   7.960-100.289-100.322 228.059
   7.975-101.276-101.168 220.611
   7.992-102.364-101.880 213.163
   8.007-103.536-102.444 205.714
   8.022-104.770-102.851 198.266
   8.037-106.047-103.095 190.817
   8.053-107.345-103.171 183.369
   8.069-108.642-103.079 175.920
   8.083-109.915-102.819 168.472
   8.100-111.145-102.396 161.023
   8.115-112.309-101.818 153.575
   8.130-113.388-101.093 146.127
   8.146-114.365-100.235 138.678
   8.163-115.221 -99.257 131.230
   8.178-115.944 -98.177 123.781
   8.194-116.521 -97.012 116.333
   8.209-116.942 -95.782 108.884
   8.224-117.199 -94.507 101.436
   8.240-117.290 -93.211  93.987
